Text
"Feeling sad for him???? #dhoni  
U r the best Nd will be the best @msdhoni  
I don’t understand why everyone is criticising him??????? He played his inning well... #teamindia Harti hai toh hmsha Blame #Msdhoni pr kyu?? he also deserve love nd respect not hate?? we love you???? #cwc19 https://t.co/qtG19Y750l"
"Well played Boys???????? #teamindia 
We loved ur performance throughout the #cwc19 today’s was not our Day! Win nd lose is part of life nd Sports???? today was  ur day  @imjadeja ?? @msdhoni @RishabPant777 loved ur innings????????  #indvsnz #dhoni congratulations #NZ https://t.co/fzDQ4HKwz8"
"???? ?? ??? ?? ????????? ????? ???? 

?? ??? ??? ????? ??? ?? 

?? ???? ?? ???? 6 ????? ??  ?? ?? ?????????? 

??? #TeamIndia ??? ?? ?? ??? 

??? ?????? ?? ??? ?????

#LoveYouDhoni 
#indiavsNewzealand 
#CWC19 

@msdhoni 
@BCCI https://t.co/9CSy7tfc63"
MS Dhoni Top 5 Angry moments?????? https://t.co/VvII1IZUdF via @YouTube @msdhoni #CWC19 #Cricket #CricketMeriJaan
TOP MOST CLEVER MOMENTS OF GENIUS DHONI !! ???? ?????? ??? ?? ???? ?????... https://t.co/LHxR6TTcuZ via @YouTube @CRICKETFOREVE13 #Dhoni #CWC19 #champion #cricket @msdhoni
"For all those who kept criticising  @msdhoni through  this #CWC19 will be praying to bring out his A game today.  I am also one of them ??????
#Dhoni 
#INDvsNZ"
"#CWC19
#indiavsNewzealand
#MSDhoni
@msdhoni
(MSDfan?) https://t.co/Fq3AgitdJv"
"Proud to have @msdhoni as my role model! With MS Dhoni, you learn that there's always more time than you think. With him, you learn leadership with human touch. With him you learn never to panic. Make MSD your role model, become successful. #MSDhoni #DhoniForever #CWC19 https://t.co/RzGGX9sPmV"
"@BCCI, all you had to do after losing the #CWC19 was
- Sack @RaviShastriOfc as the coach
- Retire @msdhoni from all forms of Cricket, let him play @IPL
- Sack @imVkohli as the captain and pass the baton to @ImRo45
#TeamIndia #IndianCricketTeam
I cannot po"
"Mahi ?Chatur ?Chalak????????? @msdhoni 
#dhoni  #INDvPAK #IndiaVsPakistan #CWC19 https://t.co/1vsxaiaEXo"
Aaj Haar Gaye To Kya kal Jeet ke dikhayenge #AajTak #cwc19 #IndianCricketTeam #ViratKohli #MSDhoni @imVkohli @msdhoni ?????????
[PICS]: @MSDhoni Snapped In New Haircut During Practice Session Ahead of Match Against  Afganistan! #CWC19 https://t.co/MUGS4w5nuQ
"Chahal TV ????: @Jaspritbumrah93 on the @msdhoni effect in Manchester &amp; the ball that almost got him the hat-trick ???? #TeamIndia #WIvIND #CWC19 - by @RajalArora @yuzi_chahal 

Full video here ???? https://t.co/xN21vd5LKo https://t.co/7ZKsnZufKL"
Is there anyone as candid and funny as @ImRo45? Here's what he had to say when asked about a message for Birthday Boy @msdhoni ???? #TeamIndia #CWC19 #SLvIND https://t.co/aCD23hgKts
"Chahal TV ????: @Jaspritbumrah93 on the @msdhoni effect in Manchester &amp; the ball that almost got him the hat-trick ???? #TeamIndia #WIvIND #CWC19 - by @RajalArora @yuzi_chahal 

Full video here ???? https://t.co/xN21vd5LKo https://t.co/7ZKsnZufKL"
"To the man who fulfilled a billion dreams in 2011... 

May his presence in the Indian team bring another success for #TeamIndia ??

Happy birthday, @msdhoni ??

#HappyBirthdayDhoni #CWC19 #OrangeArmy #RiseWithUs (??: CWC) https://t.co/qRs53ykcDj"
"We're sending out birthday wishes to #CaptainCool of Indian Cricket, @msdhoni! ??

Leave your wishes for the legend in the tweets below ??

#HeroISL #LetsFootball #CWC19 #HappyBirthdayDhoni https://t.co/c4hGndhzEu"
"Calm. Strong. Inspiration.

A leader like no other. Wish you a very happy birthday @msdhoni bhai. May you finish off #CWC19 the way you always do.

#HappyBirthdayDhoni https://t.co/z4PZyTMBgM"
"For the ones who question the abilities and power-hitting of @msdhoni
You all need to watch this one????
https://t.co/GOMLlHe0h0
This may change your whole life and perspective ??
#MSDhoni
#CWC19 #cricket #csk"
"#indpakwc2019 #iccwc2019 #INDvPAK  #cwc19 #teamindia  #ICCWC #ICCWC2019 #ICCWC19 #CWC19 #ICC
@ICCWCupUpDTeS @imVkohli @Viratkohli18f_c @BCCI @MSD_Cricinfo @msdhoni @StarSportsIndia @TheRealPCB @Cricketworld92 #PakvsInd @realshoaibmalik Car Insurance https://t.co/mcvhNgeAXA https://t.co/b0EIBE2Syo"
Is there anyone as candid and funny as @ImRo45? Here's what he had to say when asked about a message for Birthday Boy @msdhoni ???? #TeamIndia #CWC19 #SLvIND https://t.co/aCD23hgKts
"#CWC19 #MSD 

It was a team decision to send @msdhoni at No 7 in World Cup semi-final, says India's assistant coach @bangar

Details: https://t.co/5pyoAP1I3X https://t.co/zB1kP2J6aG"
